accelaration accelaration accelaration
0.185302 -0.021201 0.448211
0.182079 -0.027079 0.449990
0.178741 -0.032906 0.451674
0.175289 -0.038679 0.453260
0.171726 -0.044395 0.454749
0.168052 -0.050052 0.456141
0.164268 -0.055647 0.457435
0.160377 -0.061177 0.458630
0.156380 -0.066641 0.459728
0.152278 -0.072036 0.460726
0.148074 -0.077359 0.461626
0.143768 -0.082609 0.462426
0.139364 -0.087782 0.463127
0.134862 -0.092877 0.463729
0.130265 -0.097891 0.464231
0.125574 -0.102822 0.464633
0.120792 -0.107668 0.464936
0.115920 -0.112426 0.465138
0.110961 -0.117096 0.465241
0.105917 -0.121674 0.465243
0.100789 -0.126159 0.465146
0.095581 -0.130548 0.464948
0.090294 -0.134841 0.464651
0.084931 -0.139035 0.464254
0.079494 -0.143128 0.463756
0.073985 -0.147118 0.463159
0.068407 -0.151005 0.462463
0.062763 -0.154786 0.461667
0.057054 -0.158459 0.460772
0.051283 -0.162024 0.459777
0.045453 -0.165478 0.458684
0.039566 -0.168820 0.457492
0.033625 -0.172050 0.456201
0.027633 -0.175165 0.454813
0.021592 -0.178164 0.453326
0.015505 -0.181047 0.451742
0.009375 -0.183812 0.450061
0.003204 -0.186457 0.448283
-0.003005 -0.188983 0.446409
-0.009249 -0.191388 0.444438
-0.015526 -0.193671 0.442372
-0.021832 -0.195831 0.440211
-0.028164 -0.197867 0.437955
-0.034521 -0.199780 0.435605
-0.040898 -0.201567 0.433162
-0.047294 -0.203230 0.430625
-0.053705 -0.204766 0.427995
-0.060128 -0.206176 0.425274
-0.066561 -0.207459 0.422461
-0.073001 -0.208615 0.419557
-0.079444 -0.209644 0.416563
-0.085888 -0.210545 0.413480
-0.092329 -0.211319 0.410308
-0.098766 -0.211964 0.407048
-0.105195 -0.212482 0.403700
-0.111613 -0.212872 0.400265
-0.118017 -0.213134 0.396745
-0.124404 -0.213269 0.393139
-0.130772 -0.213276 0.389449
-0.137117 -0.213157 0.385676
-0.143437 -0.212911 0.381820
-0.149729 -0.212539 0.377881
-0.155990 -0.212041 0.373862
-0.162217 -0.211418 0.369763
-0.168407 -0.210670 0.365584
-0.174557 -0.209799 0.361327
-0.180665 -0.208805 0.356993
-0.186728 -0.207688 0.352582
-0.192743 -0.206449 0.348095
-0.198708 -0.205090 0.343534
-0.204619 -0.203612 0.338900
-0.210474 -0.202015 0.334193
-0.216270 -0.200301 0.329415
-0.222006 -0.198470 0.324566
-0.227677 -0.196524 0.319648
-0.233281 -0.194464 0.314661
-0.238817 -0.192292 0.309608
-0.244281 -0.190009 0.304488
-0.249670 -0.187615 0.299303
-0.254984 -0.185114 0.294055
-0.260218 -0.182506 0.288744
-0.265371 -0.179793 0.283371
-0.270440 -0.176976 0.277938
-0.275423 -0.174058 0.272446
-0.280318 -0.171039 0.266896
-0.285122 -0.167923 0.261289
-0.289834 -0.164709 0.255627
-0.294451 -0.161402 0.249910
-0.298971 -0.158001 0.244140
-0.303392 -0.154510 0.238319
-0.307712 -0.150931 0.232447
-0.311929 -0.147265 0.226526
-0.316041 -0.143514 0.220557
-0.320046 -0.139681 0.214541
-0.323943 -0.135769 0.208480
-0.327730 -0.131778 0.202375
-0.331404 -0.127711 0.196227
-0.334965 -0.123572 0.190038
-0.338411 -0.119361 0.183809
-0.341740 -0.115081 0.177542
-0.344950 -0.110736 0.171237
-0.348040 -0.106327 0.164896
-0.351010 -0.101856 0.158520
-0.353857 -0.097326 0.152112
-0.356580 -0.092741 0.145672
-0.359178 -0.088101 0.139201
-0.361649 -0.083411 0.132702
-0.363994 -0.078671 0.126174
-0.366210 -0.073886 0.119621
-0.368297 -0.069058 0.113043
-0.370254 -0.064189 0.106442
-0.372079 -0.059282 0.099819
-0.373773 -0.054340 0.093175
-0.375334 -0.049365 0.086513
-0.376761 -0.044360 0.079833
-0.378055 -0.039329 0.073137
-0.379214 -0.034273 0.066426
-0.380238 -0.029196 0.059702
-0.381127 -0.024100 0.052966
-0.381879 -0.018988 0.046219
-0.382496 -0.013863 0.039464
-0.382977 -0.008728 0.032702
-0.383320 -0.003585 0.025933
-0.383528 0.001562 0.019160
-0.383598 0.006711 0.012384
-0.383532 0.011860 0.005606
-0.383329 0.017004 -0.001172
-0.382990 0.022142 -0.007948
-0.382514 0.027271 -0.014722
-0.381903 0.032387 -0.021492
-0.381155 0.037488 -0.028256
-0.380273 0.042572 -0.035013
-0.379255 0.047635 -0.041761
-0.378103 0.052674 -0.048500
-0.376818 0.057688 -0.055227
-0.375399 0.062673 -0.061941
-0.373848 0.067626 -0.068641
-0.372165 0.072544 -0.075325
-0.370351 0.077426 -0.081992
-0.368407 0.082268 -0.088641
-0.366334 0.087068 -0.095270
-0.364133 0.091823 -0.101877
-0.361805 0.096531 -0.108462
-0.359351 0.101188 -0.115022
-0.356773 0.105792 -0.121557
-0.354071 0.110341 -0.128065
-0.351246 0.114833 -0.134545
-0.348301 0.119264 -0.140995
-0.345237 0.123633 -0.147414
-0.342054 0.127936 -0.153801
-0.338755 0.132172 -0.160153
-0.335341 0.136338 -0.166471
-0.331813 0.140431 -0.172753
-0.328174 0.144451 -0.178996
-0.324424 0.148393 -0.185201
-0.320567 0.152257 -0.191365
-0.316603 0.156039 -0.197488
-0.312534 0.159738 -0.203568
-0.308363 0.163352 -0.209603
-0.304091 0.166878 -0.215593
-0.299720 0.170315 -0.221537
-0.295253 0.173661 -0.227432
-0.290691 0.176913 -0.233278
-0.286036 0.180070 -0.239074
-0.281291 0.183130 -0.244818
-0.276458 0.186092 -0.250509
-0.271539 0.188952 -0.256146
-0.266537 0.191711 -0.261728
-0.261453 0.194366 -0.267254
-0.256290 0.196915 -0.272722
-0.251051 0.199357 -0.278132
-0.245738 0.201691 -0.283481
-0.240352 0.203915 -0.288770
-0.234898 0.206028 -0.293997
-0.229377 0.208028 -0.299161
-0.223792 0.209915 -0.304261
-0.218145 0.211686 -0.309295
-0.212440 0.213341 -0.314263
-0.206678 0.214879 -0.319164
-0.200862 0.216299 -0.323997
-0.194995 0.217599 -0.328760
-0.189080 0.218779 -0.333453
-0.183119 0.219838 -0.338075
-0.177116 0.220775 -0.342625
-0.171072 0.221590 -0.347102
-0.164991 0.222281 -0.351504
-0.158875 0.222848 -0.355832
-0.152728 0.223290 -0.360084
-0.146551 0.223608 -0.364259
-0.140348 0.223800 -0.368356
-0.134122 0.223866 -0.372375
-0.127875 0.223805 -0.376315
-0.121611 0.223619 -0.380175
-0.115332 0.223305 -0.383954
-0.109040 0.222865 -0.387651
-0.102740 0.222298 -0.391266
-0.096433 0.221604 -0.394798
-0.090123 0.220783 -0.398246
-0.083812 0.219835 -0.401610
-0.077503 0.218761 -0.404888
-0.071200 0.217560 -0.408081
-0.064904 0.216233 -0.411187
-0.058619 0.214780 -0.414206
-0.052348 0.213202 -0.417137
-0.046093 0.211499 -0.419980
-0.039857 0.209671 -0.422734
-0.033643 0.207720 -0.425398
-0.027454 0.205646 -0.427972
-0.021293 0.203449 -0.430456
-0.015162 0.201130 -0.432849
-0.009063 0.198691 -0.435150
-0.003001 0.196131 -0.437359
0.003023 0.193453 -0.439476
0.009006 0.190657 -0.441500
0.014945 0.187743 -0.443431
0.020838 0.184714 -0.445268
0.026681 0.181570 -0.447011
0.032473 0.178313 -0.448659
0.038211 0.174943 -0.450213
0.043893 0.171463 -0.451672
0.049515 0.167873 -0.453036
0.055075 0.164175 -0.454304
0.060572 0.160371 -0.455476
0.066002 0.156462 -0.456553
0.071363 0.152449 -0.457533
0.076653 0.148334 -0.458416
0.081869 0.144120 -0.459203
0.087010 0.139807 -0.459894
0.092073 0.135398 -0.460487
0.097056 0.130894 -0.460983
0.101957 0.126297 -0.461382
0.106773 0.121609 -0.461684
0.111502 0.116833 -0.461889
0.116144 0.111969 -0.461997
0.120695 0.107021 -0.462007
0.125153 0.101990 -0.461920
0.129517 0.096879 -0.461736
0.133786 0.091689 -0.461455
0.137956 0.086424 -0.461076
0.142027 0.081084 -0.460601
0.145996 0.075672 -0.460028
0.149863 0.070192 -0.459359
0.153625 0.064644 -0.458593
0.157281 0.059033 -0.457731
0.160829 0.053359 -0.456773
0.164269 0.047625 -0.455718
0.167598 0.041834 -0.454567
0.170815 0.035989 -0.453321
0.173919 0.030092 -0.451979
0.176910 0.024145 -0.450543
0.179784 0.018151 -0.449011
0.182543 0.012113 -0.447386
0.185184 0.006034 -0.445666
0.187706 -0.000084 -0.443852
0.190109 -0.006239 -0.441945
0.192391 -0.012427 -0.439945
0.194553 -0.018646 -0.437852
0.196592 -0.024893 -0.435667
0.198509 -0.031165 -0.433391
0.200303 -0.037460 -0.431023
0.201973 -0.043775 -0.428565
0.203519 -0.050106 -0.426016
0.204939 -0.056452 -0.423378
0.206235 -0.062809 -0.420650
0.207405 -0.069174 -0.417835
0.208449 -0.075546 -0.414931
0.209367 -0.081920 -0.411939
0.210159 -0.088294 -0.408861
0.210825 -0.094665 -0.405697
0.211364 -0.101031 -0.402447
0.211777 -0.107388 -0.399113
0.212063 -0.113734 -0.395695
0.212224 -0.120065 -0.392193
0.212259 -0.126380 -0.388608
0.212168 -0.132675 -0.384941
0.211952 -0.138947 -0.381194
0.211611 -0.145193 -0.377365
0.211145 -0.151412 -0.373458
0.210556 -0.157599 -0.369471
0.209843 -0.163753 -0.365407
0.209008 -0.169870 -0.361265
0.208050 -0.175948 -0.357047
0.206971 -0.181984 -0.352753
0.205772 -0.187975 -0.348385
0.204453 -0.193918 -0.343944
0.203016 -0.199812 -0.339429
0.201460 -0.205653 -0.334843
0.199789 -0.211438 -0.330186
0.198001 -0.217165 -0.325459
0.196099 -0.222832 -0.320663
0.194084 -0.228436 -0.315800
0.191957 -0.233974 -0.310869
0.189719 -0.239443 -0.305872
0.187372 -0.244842 -0.300811
0.184917 -0.250168 -0.295686
0.182356 -0.255419 -0.290498
0.179690 -0.260592 -0.285248
0.176920 -0.265684 -0.279938
0.174049 -0.270694 -0.274568
0.171078 -0.275619 -0.269140
0.168008 -0.280458 -0.263654
0.164843 -0.285207 -0.258113
0.161582 -0.289864 -0.252516
0.158229 -0.294428 -0.246866
0.154784 -0.298897 -0.241163
0.151251 -0.303268 -0.235408
0.147631 -0.307540 -0.229603
0.143926 -0.311710 -0.223750
0.140138 -0.315776 -0.217848
0.136270 -0.319738 -0.211899
0.132322 -0.323592 -0.205906
0.128299 -0.327338 -0.199868
0.124201 -0.330973 -0.193787
0.120032 -0.334496 -0.187664
0.115793 -0.337905 -0.181501
0.111486 -0.341199 -0.175300
0.107115 -0.344377 -0.169060
0.102682 -0.347436 -0.162784
0.098188 -0.350375 -0.156472
0.093637 -0.353193 -0.150127
0.089031 -0.355889 -0.143749
0.084373 -0.358462 -0.137340
0.079665 -0.360910 -0.130901
0.074909 -0.363232 -0.124434
0.070108 -0.365427 -0.117939
0.065265 -0.367494 -0.111419
0.060383 -0.369433 -0.104874
0.055464 -0.371242 -0.098306
0.050511 -0.372920 -0.091716
0.045526 -0.374467 -0.085106
0.040512 -0.375882 -0.078477
0.035473 -0.377165 -0.071831
0.030410 -0.378314 -0.065168
0.025327 -0.379330 -0.058491
0.020225 -0.380211 -0.051800
0.015109 -0.380957 -0.045097
0.009981 -0.381569 -0.038384
0.004843 -0.382046 -0.031662
-0.000302 -0.382386 -0.024932
-0.005451 -0.382592 -0.018195
-0.010600 -0.382661 -0.011454
-0.015748 -0.382595 -0.004709
-0.020891 -0.382393 0.002037
-0.026027 -0.382056 0.008785
-0.031153 -0.381583 0.015531
-0.036266 -0.380975 0.022275
-0.041363 -0.380231 0.029016
-0.046441 -0.379354 0.035751
-0.051499 -0.378341 0.042480
-0.056532 -0.377195 0.049201
-0.061539 -0.375916 0.055913
-0.066516 -0.374504 0.062614
-0.071460 -0.372961 0.069302
-0.076370 -0.371285 0.075977
-0.081242 -0.369480 0.082637
-0.086074 -0.367544 0.089280
-0.090863 -0.365480 0.095906
-0.095606 -0.363288 0.102512
-0.100301 -0.360969 0.109097
-0.104945 -0.358524 0.115660
-0.109536 -0.355954 0.122200
