velocity(x) velocity(y) velocity(z)
2158.871822 1580.024451 854.449451
2158.882062 1561.251417 899.184844
2158.269627 1542.231860 943.727993
2157.031142 1522.977922 988.069317
2155.163515 1503.501830 1032.199278
2152.663933 1483.815895 1076.108386
2149.529868 1463.932498 1119.787196
2145.759076 1443.864088 1163.226315
2141.349600 1423.623178 1206.416403
2136.299767 1403.222334 1249.348172
2130.608196 1382.674172 1292.012393
2124.273793 1361.991349 1334.399893
2117.295753 1341.186561 1376.501562
2109.673563 1320.272533 1418.308350
2101.407001 1299.262013 1459.811273
2092.496133 1278.167767 1501.001412
2082.941320 1257.002573 1541.869920
2072.743212 1235.779213 1582.408016
2061.902751 1214.510467 1622.606993
2050.421168 1193.209110 1662.458221
2038.299988 1171.887898 1701.953141
2025.541022 1150.559571 1741.083276
2012.146374 1129.236841 1779.840229
1998.118433 1107.932384 1818.215681
1983.459877 1086.658842 1856.201402
1968.173672 1065.428807 1893.789242
1952.263066 1044.254820 1930.971143
1935.731593 1023.149366 1967.739132
1918.583068 1002.124865 2004.085330
1900.821587 981.193665 2040.001949
1882.451525 960.368039 2075.481294
1863.477534 939.660178 2110.515768
1843.904539 919.082184 2145.097871
1823.737741 898.646065 2179.220200
1802.982608 878.363727 2212.875456
1781.644878 858.246972 2246.056440
1759.730554 838.307489 2278.756058
1737.245900 818.556849 2310.967322
1714.197440 799.006500 2342.683349
1690.591958 779.667761 2373.897366
1666.436487 760.551816 2404.602709
1641.738314 741.669708 2434.792826
1616.504971 723.032337 2464.461279
1590.744235 704.650450 2493.601741
1564.464123 686.534638 2522.208004
1537.672888 668.695331 2550.273973
1510.379014 651.142793 2577.793675
1482.591218 633.887115 2604.761254
1454.318439 616.938214 2631.170976
1425.569835 600.305823 2657.017226
1396.354784 583.999491 2682.294517
1366.682874 568.028574 2706.997482
1336.563901 552.402236 2731.120882
1306.007864 537.129437 2754.659601
1275.024961 522.218938 2777.608655
1243.625583 507.679286 2799.963186
1211.820311 493.518820 2821.718465
1179.619908 479.745659 2842.869896
1147.035319 466.367705 2863.413011
1114.077660 453.392631 2883.343478
1080.758218 440.827886 2902.657097
1047.088443 428.680685 2921.349801
1013.079943 416.958008 2939.417660
978.744478 405.666596 2956.856877
944.093958 394.812950 2973.663796
909.140432 384.403323 2989.834893
873.896087 374.443722 3005.366787
838.373240 364.939903 3020.256232
802.584334 355.897367 3034.500122
766.541929 347.321359 3048.095494
730.258699 339.216865 3061.039521
693.747428 331.588612 3073.329519
657.020997 324.441058 3084.962948
620.092387 317.778402 3095.937405
582.974665 311.604569 3106.250634
545.680983 305.923219 3115.900519
508.224571 300.737738 3124.885090
470.618727 296.051240 3133.202517
432.876819 291.866566 3140.851117
395.012268 288.186277 3147.829350
357.038552 285.012662 3154.135820
318.969194 282.347730 3159.769277
280.817756 280.193209 3164.728615
242.597835 278.550551 3169.012874
204.323056 277.420925 3172.621237
166.007062 276.805220 3175.553035
127.663514 276.704043 3177.807742
89.306081 277.117721 3179.384978
50.948434 278.046298 3180.284510
12.604238 279.489538 3180.506248
-25.712849 281.446921 3180.050249
-63.989189 283.917648 3178.916713
-102.211165 286.900640 3177.105987
-140.365191 290.394536 3174.618562
-178.437714 294.397695 3171.455075
-216.415225 298.908202 3167.616304
-254.284263 303.923859 3163.103175
-292.031420 309.442195 3157.916756
-329.643349 315.460463 3152.058258
-367.106771 321.975643 3145.529036
-404.408477 328.984442 3138.330589
-441.535339 336.483297 3130.464556
-478.474312 344.468375 3121.932719
-515.212443 352.935578 3112.737003
-551.736875 361.880542 3102.879471
-588.034854 371.298642 3092.362329
-624.093734 381.184991 3081.187921
-659.900982 391.534445 3069.358733
-695.444188 402.341605 3056.877387
-730.711065 413.600818 3043.746643
-765.689458 425.306183 3029.969401
-800.367347 437.451552 3015.548695
-834.732857 450.030531 3000.487697
-868.774259 463.036488 2984.789711
-902.479976 476.462552 2968.458180
-935.838591 490.301619 2951.496676
-968.838848 504.546353 2933.908907
-1001.469662 519.189192 2915.698712
-1033.720119 534.222352 2896.870058
-1065.579485 549.637828 2877.427047
-1097.037207 565.427399 2857.373906
-1128.082922 581.582634 2836.714993
-1158.706459 598.094895 2815.454791
-1188.897844 614.955340 2793.597909
-1218.647303 632.154928 2771.149083
-1247.945269 649.684424 2748.113171
-1276.782387 667.534404 2724.495155
-1305.149514 685.695258 2700.300138
-1333.037726 704.157196 2675.533344
-1360.438321 722.910251 2650.200115
-1387.342824 741.944288 2624.305913
-1413.742989 761.249002 2597.856316
-1439.630804 780.813930 2570.857018
-1464.998495 800.628453 2543.313828
-1489.838528 820.681801 2515.232666
-1514.143610 840.963058 2486.619566
-1537.906700 861.461168 2457.480671
-1561.121003 882.164942 2427.822236
-1583.779979 903.063059 2397.650619
-1605.877342 924.144077 2366.972288
-1627.407067 945.396434 2335.793815
-1648.363387 966.808455 2304.121876
-1668.740800 988.368360 2271.963248
-1688.534070 1010.064267 2239.324809
-1707.738228 1031.884197 2206.213536
-1726.348577 1053.816084 2172.636504
-1744.360690 1075.847777 2138.600884
-1761.770413 1097.967046 2104.113941
-1778.573870 1120.161590 2069.183033
-1794.767461 1142.419043 2033.815610
-1810.347863 1164.726977 1998.019212
-1825.312034 1187.072912 1961.801465
-1839.657214 1209.444318 1925.170083
-1853.380921 1231.828625 1888.132866
-1866.480960 1254.213227 1850.697696
-1878.955418 1276.585486 1812.872535
-1890.802664 1298.932742 1774.665428
-1902.021355 1321.242319 1736.084495
-1912.610431 1343.501528 1697.137935
-1922.569116 1365.697674 1657.834019
-1931.896923 1387.818065 1618.181094
-1940.593646 1409.850014 1578.187576
-1948.659367 1431.780849 1537.861951
-1956.094452 1453.597916 1497.212772
-1962.899549 1475.288588 1456.248658
-1969.075594 1496.840267 1414.978293
-1974.623801 1518.240396 1373.410422
-1979.545670 1539.476458 1331.553851
-1983.842981 1560.535988 1289.417444
-1987.517792 1581.406578 1247.010122
-1990.572443 1602.075879 1204.340860
-1993.009549 1622.531611 1161.418687
-1994.832001 1642.761567 1118.252683
-1996.042967 1662.753622 1074.851976
-1996.645884 1682.495734 1031.225742
-1996.644460 1701.975952 987.383203
-1996.042675 1721.182424 943.333622
-1994.844771 1740.103400 899.086306
-1993.055258 1758.727238 854.650602
-1990.678904 1777.042410 810.035892
-1987.720741 1795.037510 765.251595
-1984.186052 1812.701253 720.307165
-1980.080380 1830.022489 675.212085
-1975.409514 1846.990202 629.975872
-1970.179494 1863.593517 584.608066
-1964.396604 1879.821707 539.118238
-1958.067370 1895.664197 493.515978
-1951.198557 1911.110567 447.810902
-1943.797165 1926.150561 402.012643
-1935.870423 1940.774091 356.130856
-1927.425792 1954.971239 310.175207
-1918.470955 1968.732264 264.155381
-1909.013814 1982.047608 218.081071
-1899.062490 1994.907898 171.961984
-1888.625315 2007.303953 125.807832
-1877.710829 2019.226787 79.628334
-1866.327775 2030.667613 33.433215
-1854.485098 2041.617848 -12.767801
-1842.191936 2052.069118 -58.964986
-1829.457619 2062.013262 -105.148617
-1816.291661 2071.442334 -151.308972
-1802.703759 2080.348607 -197.436338
-1788.703787 2088.724582 -243.521007
-1774.301788 2096.562985 -289.553281
-1759.507975 2103.856774 -335.523475
-1744.332720 2110.599141 -381.421916
-1728.786554 2116.783518 -427.238948
-1712.880157 2122.403577 -472.964931
-1696.624356 2127.453236 -518.590246
-1680.030121 2131.926659 -564.105294
-1663.108554 2135.818262 -609.500502
-1645.870890 2139.122714 -654.766319
-1628.328488 2141.834941 -699.893223
-1610.492825 2143.950126 -744.871722
-1592.375493 2145.463714 -789.692353
-1573.988191 2146.371415 -834.345689
-1555.342720 2146.669203 -878.822334
-1536.450979 2146.353320 -923.112934
-1517.324955 2145.420277 -967.208169
-1497.976722 2143.866860 -1011.098762
-1478.418433 2141.690123 -1054.775480
-1458.662313 2138.887401 -1098.229131
-1438.720655 2135.456300 -1141.450571
-1418.605812 2131.394707 -1184.430706
-1398.330194 2126.700786 -1227.160490
-1377.906258 2121.372983 -1269.630928
-1357.346506 2115.410023 -1311.833082
-1336.663477 2108.810915 -1353.758066
-1315.869741 2101.574946 -1395.397053
-1294.977891 2093.701692 -1436.741276
-1274.000541 2085.191007 -1477.782028
-1252.950317 2076.043032 -1518.510664
-1231.839852 2066.258191 -1558.918604
-1210.681779 2055.837190 -1598.997336
-1189.488726 2044.781022 -1638.738414
-1168.273309 2033.090961 -1678.133462
-1147.048126 2020.768564 -1717.174175
-1125.825752 2007.815672 -1755.852323
-1104.618731 1994.234408 -1794.159749
-1083.439572 1980.027175 -1832.088373
-1062.300741 1965.196656 -1869.630193
-1041.214656 1949.745815 -1906.777288
-1020.193683 1933.677893 -1943.521817
-999.250124 1916.996408 -1979.856023
-978.396220 1899.705153 -2015.772232
-957.644135 1881.808194 -2051.262858
-937.005958 1863.309872 -2086.320403
-916.493695 1844.214796 -2120.937457
-896.119262 1824.527843 -2155.106702
-875.894477 1804.254159 -2188.820911
-855.831062 1783.399151 -2222.072953
-835.940629 1761.968489 -2254.855789
-816.234678 1739.968104 -2287.162482
-796.724593 1717.404182 -2318.986188
-777.421633 1694.283164 -2350.320166
-758.336930 1670.611741 -2381.157775
-739.481480 1646.396856 -2411.492477
-720.866141 1621.645693 -2441.317838
-702.501625 1596.365682 -2470.627529
-684.398496 1570.564490 -2499.415326
-666.567162 1544.250020 -2527.675116
-649.017870 1517.430409 -2555.400893
-631.760703 1490.114019 -2582.586762
-614.805575 1462.309442 -2609.226940
